uniqueID,mean_absorbance,nrow,powdermassg,mcabsorbance
99,0.173166667421659,3,0.0753,2.299690138401846
193,0.63346666097641,3,0.0747,8.480142717221018
82,0.5592666665712993,3,0.0751,7.446959608139804
42,0.9351666768391925,3,0.0747,12.518964884058802
161,0.19406666855017365,3,0.0749,2.5910102610170047
103,0.18413333594799067,3,0.0752,2.448581595053067
141,0.3024999996026356,3,0.0753,4.017264270951336
145,0.20693333446979534,3,0.0751,2.7554372099839592
50,0.10183333108822468,3,0.0749,1.3595905352232935
230,0.19256666799386335,3,0.0749,2.570983551319938
180,0.4350333313147227,3,0.0751,5.79272078980989
55,0.105233334004879,3,0.0753,1.3975210359213677
218,0.220900004108747,3,0.0752,2.937500054637593
6,0.21570000052452099,3,0.0752,2.8683510708048003
132,0.3877666691939037,3,0.0751,5.163337805511367
112,0.14369999865690866,3,0.0748,1.9211229766966398
156,0.4263333280881246,3,0.0753,5.661797185765266
54,0.19823333621025066,3,0.0752,2.6360815985405672
158,0.1873666644096373,3,0.0751,2.4948956645757296
57,0.18746666610240936,3,0.0752,2.492907793915018
163,0.17033333082993832,3,0.075,2.271111077732511
210,0.32966666420300833,3,0.075,4.395555522706778
235,0.6980666617552441,3,0.0752,9.282801353128246
4,0.307366669178009,3,0.075,4.098222255706786
116,0.7997999986012777,3,0.0752,10.63563827927231
186,0.7885666489601136,3,0.0751,10.500221690547452
126,0.16166666646798467,3,0.0751,2.1526853058320197
236,0.27853332956631965,3,0.075,3.7137777275509287
62,0.31663333376248665,3,0.0749,4.227414335947753
173,0.24236666659514097,3,0.0751,3.227252551200279
49,0.6059999863306684,3,0.0751,8.069240829968953
224,0.12603333592414834,3,0.075,1.6804444789886446
67,0.233133335908254,3,0.0749,3.112594604916609
232,0.18253333369890867,3,0.075,2.4337777826521156
95,0.118200001617273,3,0.075,1.57600002156364
7,0.1842666665712993,3,0.0748,2.4634581092419694
179,0.7386333346366883,3,0.0753,9.80920763129732
78,0.38593333959579496,3,0.0752,5.132092281858975
155,0.6284333268801373,3,0.0752,8.356826155320974
63,0.3225000003973643,3,0.0748,4.311497331515565
46,0.6101666688919066,3,0.075,8.135555585225422
148,0.22759999831517566,3,0.0749,3.038718268560423
94,0.24206666151682535,3,0.0749,3.2318646397439967
233,0.37890000144640595,3,0.0752,5.038563849021355
197,0.2556666582822797,3,0.0751,3.4043496442380783
134,0.338799993197123,3,0.075,4.517333242628307
248,0.129833330710729,3,0.0751,1.7288060014744209
211,0.26666666567325564,3,0.0751,3.550821114157865
252,0.22943332791328466,3,0.075,3.0591110388437954
8,0.299233337243398,3,0.075,3.9897778299119735
171,0.154499997695287,3,0.0752,2.0545212459479654
243,0.09743333359559365,3,0.0753,1.2939353731154535
238,1.1298333406448366,3,0.0751,15.044385361449223
160,0.18546666204929366,3,0.0751,2.469596032613764
66,0.6721000075340274,3,0.0752,8.937500100186535
25,0.19003333648045864,3,0.0753,2.523683087389889
239,0.341400002439817,3,0.0751,4.545938780823129
11,0.22360000014305134,3,0.0749,2.9853137535787897
97,0.25040000677108765,3,0.0749,3.3431242559557766
190,0.18016666670640333,3,0.075,2.4022222227520444
192,0.5930666526158649,3,0.0749,7.918112852014218
48,0.2697333395481107,3,0.0753,3.5821160630559183
157,0.3372666736443836,3,0.0749,4.502892839043841
83,0.18116666873296097,3,0.075,2.4155555831061464
29,0.17666666706403134,3,0.075,2.3555555608537513
240,0.8893666664759309,3,0.0752,11.82668439462674
124,0.16656666994094835,3,0.0747,2.229808165206805
115,0.3599333365758257,3,0.075,4.799111154344343
144,0.49163333574930834,3,0.0751,6.546382633146583
153,0.6389000018437704,3,0.0751,8.507323593126104
152,0.4287666579087577,3,0.0752,5.701684280701564
133,0.2967000007629393,3,0.0753,3.940239053956697
